timestamp,signalQuality,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,label
"2026-07-28T02:02:25.313Z","0","16","43","671558","50155","3748","34980","32921","14379","3588","1349",""
"2026-07-28T02:02:27.174Z","0","17","60","1409634","298948","159721","32685","73960","18827","20577","2410",""
"2026-07-28T02:02:28.392Z","0","23","74","461387","13461","10046","4841","3334","2929","2319","1269",""
"2026-07-28T02:02:29.586Z","0","37","74","551921","216150","64110","39433","49532","49371","61780","14540",""
"2026-07-28T02:02:31.368Z","26","34","81","1200607","49711","78337","79870","218679","67500","27433","10187",""
"2026-07-28T02:02:32.358Z","51","34","81","253124","20321","16602","41973","31768","68154","5823","3420",""
"2026-07-28T02:02:33.030Z","0","40","78","771505","20320","7340","5279","11297","3342","1788","1169",""
"2026-07-28T02:02:34.170Z","0","38","77","107086","7277","5200","1024","1073","1171","890","592",""
"2026-07-28T02:02:35.598Z","0","21","70","206773","58932","4280","8956","5278","1657","2517","1469",""
"2026-07-28T02:02:37.092Z","0","20","67","400101","9052","5284","5036","2802","1773","1194","455",""
"2026-07-28T02:02:37.596Z","0","14","64","32452","71279","6051","16987","6635","4437","3345","1694",""
"2026-07-28T02:02:37.943Z","0","11","57","96818","63329","4066","21193","18315","5123","3528","1788",""
"2026-07-28T02:02:38.844Z","0","20","66","1451846","138519","24670","42602","9115","13074","29954","16361",""
"2026-07-28T02:02:39.642Z","26","20","66","208751","243120","56610","60950","58525","19389","26991","11681",""
"2026-07-28T02:02:40.440Z","0","17","57","238580","50162","12993","8764","11729","4832","2102","1030",""
"2026-07-28T02:02:41.232Z","0","27","60","326502","59710","9796","17355","12680","13028","19861","932",""
"2026-07-28T02:02:42.438Z","0","30","60","1302354","175885","46239","36650","67549","21724","36886","15096",""
"2026-07-28T02:02:43.500Z","0","30","67","2494495","456834","73408","789621","214049","95922","148622","125813",""
"2026-07-28T02:02:49.073Z","0","40","60","123763","18350","4878","6357","5741","5708","2644","2468",""
"2026-07-28T02:02:49.907Z","0","40","77","2090523","62816","48393","21197","17498","15695","29007","9946",""
"2026-07-28T02:02:50.705Z","26","40","77","55046","7999","2109","1591","934","943","931","521",""
"2026-07-28T02:02:51.503Z","0","29","56","2670623","1182456","103137","11815","60529","26195","56753","28591",""
"2026-07-28T02:02:52.607Z","51","29","56","1546838","1532034","162878","727680","499718","48887","41472","89709",""
"2026-07-28T02:02:53.928Z","51","29","56","3045788","124351","186385","169569","131744","347963","338665","128843",""
"2026-07-28T02:02:55.770Z","0","16","56","667596","680930","237441","30819","115368","43129","42229","48591",""
"2026-07-28T02:02:57.360Z","0","16","50","145189","83202","8739","7377","6557","7907","10936","5271",""
"2026-07-28T02:02:57.684Z","0","11","41","20273","21161","5153","2390","755","1926","2897","1015",""
"2026-07-28T02:02:58.686Z","0","26","63","454943","38728","9555","26696","21796","8139","17464","2048",""
